PersonUrn,Label,Description,Status,Redirect,StemClass
urn:cite:hmt:pers.pers73,Aleus,"father of Auge",proposed,,
urn:cite:hmt:pers.pers74,Calchas,"son of Thestor, seer of the Greeks at Troy",proposed,,
urn:cite:hmt:pers.pers75,Herodianus,REJECTED,rejected,,
urn:cite:hmt:pers.pers76,Nicanor,Stigmatias,proposed,,
urn:cite:hmt:pers.pers77,Porphyry,"of Tyre, philosopher",proposed,,
urn:cite:hmt:pers.pers78,Licymnius,"Father of Argeius and Oeonus, brother of Alcm?na, slain by Tlepolemus, friend of one of Heracles' sons",proposed,,
urn:cite:hmt:pers.pers79,Laomedon,"Trojan king, father of Priam",proposed,,
urn:cite:hmt:pers.pers80,Hesione,"Trojan princess",proposed,,
urn:cite:hmt:pers.pers81,Argeius,"son of Licymnius",proposed,,
urn:cite:hmt:pers.pers82,Oeonus,"son of Licymnius",proposed,,
urn:cite:hmt:pers.pers83,Ares,"god of war, often refered to as Enyalius",proposed,,
urn:cite:hmt:pers.pers84,Comanus,"of Naucratis, grammarian",proposed,,
urn:cite:hmt:pers.pers85,Rhianus,"of Crete, poet and grammarian, late 3rd century BC",proposed,,
urn:cite:hmt:pers.pers86,Callimachus,"Alexandria scholar, early 3rd century BC",proposed,,
urn:cite:hmt:pers.pers87,Aesepus,"river near the town Aesepus",proposed,,
urn:cite:hmt:pers.pers88,Apollonius,"of Rhodes",proposed,,
urn:cite:hmt:pers.pers89,Machaon,"physician on the Greek side, son of Ascleipius",proposed,,
urn:cite:hmt:pers.pers90,Dictys,"Dictys Cretensis",proposed,,
urn:cite:hmt:pers.pers91,Tyndareus,"Spartan king, father of Helen",proposed,,
urn:cite:hmt:pers.pers92,Leda,"wife of Tyndareus",proposed,,
urn:cite:hmt:pers.pers93,Thestius,"father of Leda",proposed,,
urn:cite:hmt:pers.pers94,Helen,"wife of Menelaus, abducted by Paris",proposed,,
urn:cite:hmt:pers.pers95,Elpenor,"comrade of Odysseus",proposed,,
urn:cite:hmt:pers.pers96,Circe,"witch who turns Odysseus and comrades into animals",proposed,,
urn:cite:hmt:pers.pers97,Euripides,"Greek tragedian",proposed,,
urn:cite:hmt:pers.pers98,Ptolemy,"son of Oroandes",proposed,,
urn:cite:hmt:pers.pers99,Prometheus,"stole fire from the gods, liver eaten daily by a bird",proposed,,
urn:cite:hmt:pers.pers100,Deucalion,"son of Promethus",proposed,,
urn:cite:hmt:pers.pers101,Pyrrha,"daughter of Epimetheus and Pandora",proposed,,
urn:cite:hmt:pers.pers102,Epimetheus,"brother of Prometheus",proposed,,
urn:cite:hmt:pers.pers103,Pandora,"first woman, unleashed all evils upon man",proposed,,
urn:cite:hmt:pers.pers104,Hermes,"messenger of the gods",proposed,,
urn:cite:hmt:pers.pers105,Tyrannion,"Greek grammarian",proposed,,
urn:cite:hmt:pers.pers106,Zoilus,"Greek grammarian, 4th century BCE",proposed,,
urn:cite:hmt:pers.pers107,Chrysippus,"of Soli (the Stoic), 3rd century BCE",proposed,,
urn:cite:hmt:pers.pers108,Chryseis,"also called Astynome",proposed,,
urn:cite:hmt:pers.pers109,Lycophron,"tragic poet and grammarian",proposed,,
urn:cite:hmt:pers.pers110,Alexander,"of Cotiaeum",proposed,,
urn:cite:hmt:pers.pers111,Scamander,"river god on the Trojan side, called Xanthus by the gods",proposed,,
urn:cite:hmt:pers.pers112,Sosigenes,"the Peripatetic, believed to have created an edition of Homer",proposed,,
urn:cite:hmt:pers.pers113,Briseis,"slave girl of Achilles",proposed,,
urn:cite:hmt:pers.pers114,Polyboea,"see Philonome",proposed,,
urn:cite:hmt:pers.pers115,Cheiron,"the centaur, teacher of Achilles",proposed,,
urn:cite:hmt:pers.pers116,Hera,"queen of the gods, goddess of marriage",proposed,,
urn:cite:hmt:pers.pers117,Nestor,"son of Neleus, oldest man among the Greeks at Troy",proposed,,
urn:cite:hmt:pers.pers118,Odysseus,"hero of the Odyssey, inventor of the Trojan horse",proposed,,
urn:cite:hmt:pers.pers119,Menelaus,"king of Sparta, brother of Agamemnon",proposed,,
urn:cite:hmt:pers.pers120,Aegialeus,"ruler of a district of the Peleponnese called Aegialeus, founder of Aegialea",proposed,,
urn:cite:hmt:pers.pers121,Inachus,"river god, father of Aegialeus",proposed,,
urn:cite:hmt:pers.pers122,Melia,"wife of Inachus",proposed,,
urn:cite:hmt:pers.pers123,Oceanus,"father of Melia",proposed,,
urn:cite:hmt:pers.pers124,Apis,"King of Argos",proposed,,
urn:cite:hmt:pers.pers125,Phoroneus,"father of Apis",proposed,,
urn:cite:hmt:pers.pers126,Argus,"hundred-eyed giant",proposed,,
urn:cite:hmt:pers.pers127,Ajax,"son of Telamon (Great)",proposed,,
urn:cite:hmt:pers.pers128,Centauros,"son of Ixion, ancestor of the Centaurs",proposed,,
urn:cite:hmt:pers.pers129,Paris,"also called Alexander",proposed,,
urn:cite:hmt:pers.pers130,Aegina,"nymph of the island Aegina",proposed,,
urn:cite:hmt:pers.pers131,Aeacus,"son of Zeus and Aegina, father of Peleus",proposed,,
urn:cite:hmt:pers.pers132,Asopus,"Aegina's father",proposed,,
urn:cite:hmt:pers.pers133,Sisyphus,"inhabitant of Tartarus, always pushes up a boulder that rolls back down",proposed,,
urn:cite:hmt:pers.pers134,Amalthea,"she-goat nurse of Zeus",proposed,,
urn:cite:hmt:pers.pers135,Metis,"titan of wisdom, mother of Athena",proposed,,
urn:cite:hmt:pers.pers136,Seleucus,"Nicator, late 4th-early 3rd century BCE",proposed,,
urn:cite:hmt:pers.pers137,Plato,"founder of the Academy",proposed,,
urn:cite:hmt:pers.pers138,Alkmin,"son of Amphiareus, one of the Epigonoi",proposed,,
urn:cite:hmt:pers.pers139,Cronus,"Kronos, titan of time, father of Zeus",proposed,,
urn:cite:hmt:pers.pers140,Lycaon,"son of Priam",proposed,,
urn:cite:hmt:pers.pers141,Philoxenus,"Greek dithyrambic poet",proposed,,
urn:cite:hmt:pers.pers142,Aeneas,"Trojan prince, hero of the Aeneid",proposed,,
urn:cite:hmt:pers.pers143,Hecamede,"daughter of Arsinus, Nestor's captive",proposed,,
urn:cite:hmt:pers.pers144,Merops,"a seer and king of Percote (allies of Troy)",proposed,,
urn:cite:hmt:pers.pers145,Priam,"king of Troy, father of Hector and Paris",proposed,,
urn:cite:hmt:pers.pers146,Hyperion,"titan of light, father of Helius",proposed,,
urn:cite:hmt:pers.pers147,Helius,"titan of the sun, son of Hyperion",proposed,,
urn:cite:hmt:pers.pers148,Pirithous,"King of the Lapiths",proposed,,
urn:cite:hmt:pers.pers149,Exadius,"one of the Lapiths",proposed,,
