URN,Label,Description,Pleiades,Status,Redirect
urn:cite:hmt:place.place106,Alexandria,city in Egypt,pleiades.stoa.org/places/727070,proposed,
urn:cite:hmt:place.place107,Calydon,city in Aeolia,pleiades.stoa.org/places/540699,proposed,
urn:cite:hmt:place.place108,Icarian Sea,"Sea between Cyclades and Asia Minor; named for son of Daedalus",pleiades.stoa.org/places/599668,proposed,
urn:cite:hmt:place.place109,Sicily,"Largest island of Mediterranean; south of Italy",pleiades.stoa.org/places/462492,proposed,
urn:cite:hmt:place.place110,Camicus,city in Sicily,pleiades.stoa.org/places/465929,proposed,
urn:cite:hmt:place.place111,Persia,"the great empire to the east, modern day Iran",pleiades.stoa.org/places/922698,proposed,
urn:cite:hmt:place.place112,Aegospotami,Small river issuing from the Hellespont,pleiades.stoa.org/places/501336,proposed,
urn:cite:hmt:place.place113,Cnidos,Greek settlement in modern day Turkey,pleiades.stoa.org/places/599575,proposed,
urn:cite:hmt:place.place114,Argos,Peloponnesian city; major Mycenaean site,pleiades.stoa.org/places/570106,proposed,
urn:cite:hmt:place.place115,Gerena,Nestor's city,pleiades.stoa.org/places/256181,proposed,
urn:cite:hmt:place.place116,Cayster River,"Kaustros, small river in Turkey near Ephesus",pleiades.stoa.org/places/550492,proposed,
urn:cite:hmt:place.place117,Megara,city in Attica,pleiades.stoa.org/places/570468,proposed,
urn:cite:hmt:place.place118,Salamis,city in Cyprus,pleiades.stoa.org/places/580101,proposed,
urn:cite:hmt:place.place119,Mycale,"a promontory in lydia Minor, opposite Samos",pleiades.stoa.org/places/599805,proposed,
urn:cite:hmt:place.place120,Miletus,city in the Anatolia province of modern-day Turkey,pleiades.stoa.org/places/599799,proposed,
urn:cite:hmt:place.place121,Meander,river of Caria,pleiades.stoa.org/places/599777,proposed,
urn:cite:hmt:place.place122,Phthiron,"alternatively spelled Phtheiron, a mountain in Caria, near the city of Miletos",,proposed,
urn:cite:hmt:place.place123,Priene,city in Ionia,pleiades.stoa.org/places/599905,proposed,
urn:cite:hmt:place.place124,Arisbe,town in the Troad,pleiades.stoa.org/places/501359,proposed,
urn:cite:hmt:place.place125,Sestus,"Thracian city on the Hellespont, opposite Abydus",pleiades.stoa.org/places/501609,proposed,
urn:cite:hmt:place.place126,Aetolia,"Region of Western Greece, north of the Gulf of Corinth",pleiades.stoa.org/places/540591,proposed,
urn:cite:hmt:place.place127,Phoenicia,"a civilization on the Western Coast of the Fertile Crescent",pleiades.stoa.org/places/991410,proposed,
urn:cite:hmt:place.place128,Phocis,on the Corinthian gulf,pleiades.stoa.org/places/541048,proposed,
urn:cite:hmt:place.place129,Euripus,straight between Euboea and the mainland,http://pleiades.stoa.org/places/540783,proposed,
urn:cite:hmt:place.place130,Arne,town in Boeotia,pleiades.stoa.org/places/540663,proposed,
urn:cite:hmt:place.place131,Mycalessus,town in Boeotia,,proposed,
urn:cite:hmt:place.place132,Samos,island in the eastern Aegean,pleiades.stoa.org/places/599925,proposed,
urn:cite:hmt:place.place133,Graia,town in Boeotia,pleiades.stoa.org/places/540796,proposed,
urn:cite:hmt:place.place134,Medeon,town in Boeotia,pleiades.stoa.org/places/540940,proposed,
urn:cite:hmt:place.place135,Tanagra,town in Boeotia,pleiades.stoa.org/places/580114,proposed,
urn:cite:hmt:place.place136,Cithaeron,mountain; in a scene in battle of Plataea,pleiades.stoa.org/places/540714,proposed,
urn:cite:hmt:place.place137,Eleon,town in Boeotia,,proposed,
urn:cite:hmt:place.place138,Hyle,town in Lydia,,proposed,
urn:cite:hmt:place.place139,Mt. Tmolus,mountain in Lydia,pleiades.stoa.org/places/550937,proposed,
urn:cite:hmt:place.place140,Haliartus,"aka Aliartos, town in Boeotia",pleiades.stoa.org/places/540801,proposed,
urn:cite:hmt:place.place141,Plataea,town in Boeotia,pleiades.stoa.org/places/541063,proposed,
urn:cite:hmt:place.place142,Ogchestus,city in Boeotia,,proposed,
urn:cite:hmt:place.place143,Chaeronea,town in Boeotia,pleiades.stoa.org/places/540701,proposed,
urn:cite:hmt:place.place144,Leontari,town in Boeotia,,proposed,
urn:cite:hmt:place.place145,Helicon,mountain in Boeotia,pleiades.stoa.org/places/540808,proposed,
urn:cite:hmt:place.place146,Nisa,village on Mt. Helicon in Boeotia,,proposed,
urn:cite:hmt:place.place147,Anthedon,town in Boeotia on the Euripus,pleiades.stoa.org/places/540639,proposed,
urn:cite:hmt:place.place148,Orchomenus,"ancient city on Lake Copais in Boeotia, associated with the Minyans",pleiades.stoa.org/places/540987,proposed,
urn:cite:hmt:place.place149,Hyampolis,"town in Phocis, on the Cephissus",pleiades.stoa.org/places/540820,proposed,
urn:cite:hmt:place.place150,Locris Ozolia,"home of the Ozolae, tribe of Locrians",pleiades.stoa.org/places/540919,proposed,
urn:cite:hmt:place.place151,Lilaia,town in Phocis,pleiades.stoa.org/places/540915,proposed,
urn:cite:hmt:place.place152,Cephissus,river in Phocis,pleiades.stoa.org/places/540860,proposed,
urn:cite:hmt:place.place153,Syria,country,pleiades.stoa.org/places/1306,proposed,
urn:cite:hmt:place.place154,Abantes,"USE EPONYMOUS ANCESTOR INSTEAD",pleiades.stoa.org/places/540583,rejected,urn:cite:hmt:pers.pers776
urn:cite:hmt:place.place155,Eretria,city on western coast of Euboea,pleiades.stoa.org/places/579925,proposed,
urn:cite:hmt:place.place156,Oreus,town in northern Euboea,pleiades.stoa.org/places/540988,proposed,
urn:cite:hmt:place.place157,Curetes,oldest inhabitants of Pleuron in Aetolia,pleiades.stoa.org/places/543757,proposed,
urn:cite:hmt:place.place158,Chalcis,town in Aetolia,pleiades.stoa.org/places/540703,proposed,
urn:cite:hmt:place.place159,Arethousa,fount in Ithaca,,proposed,
urn:cite:hmt:place.place160,Troezen,"a town in Argolis, near the shore of the Saronic gulf",pleiades.stoa.org/places/570756,proposed,
urn:cite:hmt:place.place161,Calauria,an island close to the coast of Troezen in the Peloponnesus,pleiades.stoa.org/places/570325,proposed,
urn:cite:hmt:place.place162,Epidarus,sanctuary to Ascleipius in the Peloponnese,pleiades.stoa.org/places/570228,proposed,
urn:cite:hmt:place.place163,Mases,"a town in Argolis, near Hermione",pleiades.stoa.org/places/570463,proposed,
urn:cite:hmt:place.place164,Scheria,"island, inhabited by the Phaecians",,proposed,
urn:cite:hmt:place.place165,Corinth,"(old name is Ephyra), know as Argive Ephyre in Homer",pleiades.stoa.org/places/570182,proposed,
urn:cite:hmt:place.place166,Arene,town subject to Nestor,,proposed,
urn:cite:hmt:place.place167,Amyclae,"a city in Laconia, near the Eurotas, 20 stadia S.E. of Sparta, and the residence of Tyndareus",pleiades.stoa.org/places/438675,proposed,
urn:cite:hmt:place.place168,Mt. Taygetos,in Sparta,pleiades.stoa.org/places/570706,proposed,
urn:cite:hmt:place.place169,Parthenius,a river in Paphlagonia,pleiades.stoa.org/places/845036,proposed,
urn:cite:hmt:place.place170,Aonia,district in Boeotia,,proposed,
urn:cite:hmt:place.place171,Iolcus,city in Thessaly,pleiades.stoa.org/places/540837,proposed,
urn:cite:hmt:place.place172,Pelasgians,USE EPONYMUS ANCESTOR INSTEAD,,rejected,urn:cite:hmt:pers.pers433
urn:cite:hmt:place.place173,Delphi,"Home of Pythian oracle; sacred to Apollo",pleiades.stoa.org/places/540726,proposed,
urn:cite:hmt:place.place174,Pherae,a city in Thessaly,pleiades.stoa.org/places/541044,proposed,
urn:cite:hmt:place.place175,Triphylia,"area in the Peloponnese, 'country of three tribes'",pleiades.stoa.org/places/570754,proposed,
urn:cite:hmt:place.place176,Alpheius,river in Arcadia and Elis,pleiades.stoa.org/places/570067,proposed,
urn:cite:hmt:place.place177,Aepu,town subject to Nestor,,proposed,
urn:cite:hmt:place.place178,Hyria,in Boeotia,pleiades.stoa.org/places/540830,proposed,
urn:cite:hmt:place.place179,Schoenus,a town in Boeotia,,proposed,
urn:cite:hmt:place.place180,Scolus,a town in Boeotia,pleiades.stoa.org/places/541106,proposed,
urn:cite:hmt:place.place181,Eteonus,a town in Boeotia,pleiades.stoa.org/places/543704,proposed,
urn:cite:hmt:place.place182,Thespia,a town in Boeotia,pleiades.stoa.org/places/541141,proposed,
urn:cite:hmt:place.place183,Copae,a town in Boeotia,pleiades.stoa.org/places/540878,proposed,
urn:cite:hmt:place.place184,Eutresis,a town in Boeotia,pleiades.stoa.org/places/540787,proposed,
urn:cite:hmt:place.place185,Messene,"or Messe, city in the Peloponnese",pleiades.stoa.org/places/570479,proposed,
urn:cite:hmt:place.place186,Ascra,"in Boeotia, hometown of Hesiod",pleiades.stoa.org/places/540670,proposed,
urn:cite:hmt:place.place187,Bouprosion,an ancient town of Elis,,proposed,
urn:cite:hmt:place.place188,Bessa,"or Besa, in Locris",pleiades.stoa.org/places/543653,proposed,
urn:cite:hmt:place.place189,Echinades,"also called with Echinae, group of islands in the Ionian Sea",pleiades.stoa.org/places/530852,proposed,
urn:cite:hmt:place.place190,Doulichion,"Dulichium, or Dolicha, or Doliche, island in the Echinades",pleiades.stoa.org/places/530845,proposed,
urn:cite:hmt:place.place191,Cephalonia,"Cephellenia, largest Ionian island",pleiades.stoa.org/places/530826,proposed,
urn:cite:hmt:place.place192,Cyparissus,in Phocis,,proposed,
urn:cite:hmt:place.place193,Pytho,more recent name for Crisa,pleiades.stoa.org/places/540726,proposed,
urn:cite:hmt:place.place194,Crisa,near the Delphic oracle,pleiades.stoa.org/places/540889,proposed,
urn:cite:hmt:place.place195,Daulis,city in Phocis,pleiades.stoa.org/places/540723,proposed,
urn:cite:hmt:place.place196,Lycastus,town in Southern Crete,,proposed,
urn:cite:hmt:place.place197,Panopeus,city in Phocis,pleiades.stoa.org/places/541008,proposed,
urn:cite:hmt:place.place198,Anemoreia,town in Phocis,pleiades.stoa.org/places/543626,proposed,
urn:cite:hmt:place.place199,Cynus,town in Locris,pleiades.stoa.org/places/540896,proposed,
urn:cite:hmt:place.place200,Phylace,town in Thessaly,pleiades.stoa.org/places/541053,proposed,
urn:cite:hmt:place.place201,Imbros,island off the coast of Thrace,pleiades.stoa.org/places/501439,proposed,
urn:cite:hmt:place.place202,Ozonon river,in Aetolia,,proposed,
urn:cite:hmt:place.place203,Euinus river,probably in Locris,,proposed,
urn:cite:hmt:place.place204,Italy,"Large peninsula in Western Mediterranean",pleiades.stoa.org/places/1052,proposed,
urn:cite:hmt:place.place205,Titanus,mountain/town in Thessaly,pleiades.stoa.org/places/541150,proposed,
urn:cite:hmt:place.place206,Orthe,town in Thessaly,pleiades.stoa.org/places/540992,proposed,
urn:cite:hmt:place.place207,Elone,town in Thessaly,pleiades.stoa.org/places/540760,proposed,
urn:cite:hmt:place.place208,Oloosson,town in Thessaly,,proposed,
urn:cite:hmt:place.place209,Augeiae,lovely town in Laconia,,proposed,
urn:cite:hmt:place.place210,Cyphus,town in Perrhaevia in Thessaly,pleiades.stoa.org/places/543761,proposed,
urn:cite:hmt:place.place211,Meliboea,town in Magnesia,pleiades.stoa.org/places/543784,proposed,
urn:cite:hmt:place.place212,Magnesia,region in North Eastern Greece,pleiades.stoa.org/places/540923,proposed,
urn:cite:hmt:place.place213,Orneae,"Orneiae, town in Argolis",pleiades.stoa.org/places/570537,proposed,
urn:cite:hmt:place.place214,Araethyrea,in Corinth,pleiades.stoa.org/places/573109,proposed,
urn:cite:hmt:place.place215,Pellene,city in Thrace,,proposed,
urn:cite:hmt:place.place216,Pallene,town in Attica,pleiades.stoa.org/places/580051,proposed,
urn:cite:hmt:place.place217,Batieia,height on the plain of Troy before the city,,proposed,
urn:cite:hmt:place.place218,Sparta,Laconic city in the Peloponnese,pleiades.stoa.org/places/570685,proposed,
urn:cite:hmt:place.place219,Laas,"or Las, in Laconia",,proposed,
urn:cite:hmt:place.place220,Oetylus,in Laconia,,proposed,
urn:cite:hmt:place.place221,Chersonese,peninsula of Thrace,pleiades.stoa.org/places/501352,proposed,
urn:cite:hmt:place.place222,Thryon,"or Thryoessa, town in Elis",,proposed,
urn:cite:hmt:place.place223,Maroneia,in Thrace,,proposed,
urn:cite:hmt:place.place224,Europe,"Continent west of and connected to Asia. Contains Greece",,proposed,
urn:cite:hmt:place.place225,Helus,a costal city in Lacadaemon,,proposed,
urn:cite:hmt:place.place226,Asia,"Continent east of and connected to Europe. Contains Asia Minor and Persia",,proposed,
urn:cite:hmt:place.place227,Veneto,"region in Northern Italy inhabited by the Veneti (Latin Heneti, Greek Enetoi)",,proposed,
urn:cite:hmt:place.place228,Eruthinoi,a place in Paphlagonia,,proposed,
urn:cite:hmt:place.place229,Acragas,"Agrigento, Sicily",pleiades.stoa.org/places/462086,proposed,
urn:cite:hmt:place.place230,Oechalia,in Thessaly,,proposed,
urn:cite:hmt:place.place231,Phrygia,"Region in Western Central Anatolia",pleiades.stoa.org/places/609502,proposed,
urn:cite:hmt:place.place232,Sangarius,"a river flowing through Bithynia and Phrygia, and emptying into the Euxine",pleiades.stoa.org/places/511406,proposed,
urn:cite:hmt:place.place233,Phthiron,REJECTED Not Used,,rejected,urn:cite:hmt:place.place122
urn:cite:hmt:place.place234,Cyllene,mountain in Arcadia,,proposed,
urn:cite:hmt:place.place235,Pheneus,town in Arcadia,pleiades.stoa.org/places/570595,proposed,
urn:cite:hmt:place.place236,Myrsinos,A village near Elis,pleiades.stoa.org/places/57049,proposed,
urn:cite:hmt:place.place237,Hyrmine,A port in northern Elis,pleiades.stoa.org/places/570305,proposed,
urn:cite:hmt:place.place238,Olenia,"REJECTED NOT A PLACE, DON'T USE",,rejected,
urn:cite:hmt:place.place239,Aleision,"or Alesion, town near Elis",,proposed,
urn:cite:hmt:place.place240,Scandeia,name of a harbor in the island of Cythera,pleiades.stoa.org/places/570673,proposed,
urn:cite:hmt:place.place241,Cythera,island off the coast of the southeastern tip of the Peloponnese,pleiades.stoa.org/places/570186,proposed,
urn:cite:hmt:place.place242,Asopos River,river in Boeotia,pleiades.stoa.org/places/540672,proposed,
urn:cite:hmt:place.place243,Paeonia,region of Northern Greece that includes Thrace,,proposed,
urn:cite:hmt:place.place244,Leleges,USE EPONYMOUS ANCESTOR INSTEAD,,rejected,urn:cite:hmt:pers.pers777
urn:cite:hmt:place.place245,Caucones,"DO NOT USE, NO PLACE OR EPONYMOUS ANCESTOR",,rejected,
urn:cite:hmt:place.place246,Thymbres,a tributary of the Sangarius in Phrygia,,proposed,
urn:cite:hmt:place.place247,Adriatic Sea,body of water between the Italian and Balkan Peninsulae,pleiades.stoa.org/places/1004,proposed,
urn:cite:hmt:place.place248,Dacelea,"also spelt Decelea, city in Attica, fortified by Spartans during Peloponnesian War",,proposed,
urn:cite:hmt:place.place249,Percote,town northeast of Troy,,proposed,
urn:cite:hmt:place.place250,Ister,"Danube river; also colony at its mouth",pleiades.stoa.org/places/226577,proposed,
urn:cite:hmt:place.place251,Rhesus,a river that flows from Mt Ida near Troy,pleiades.stoa.org/places/511398,proposed,
urn:cite:hmt:place.place252,Aesepus,a river that flows from Mt Ida near Troy,pleiades.stoa.org/places/511141,proposed,
urn:cite:hmt:place.place253,Heptaporus,a river that flows from Mt Ida near Troy,,proposed,
urn:cite:hmt:place.place254,Granicus,a river that flows from Mt Ida near Troy,pleiades.stoa.org/places/511260,proposed,
urn:cite:hmt:place.place255,Caresus,a river that flows from Mt Ida near Troy,pleiades.stoa.org/places/511287,proposed,
urn:cite:hmt:place.place256,Rhodius,a river that flows from Mt Ida near Troy,pleiades.stoa.org/places/501590,proposed,
urn:cite:hmt:place.place257,Selleeis,"or Selleis,a river in the Troad near Arisbe",pleiades.stoa.org/places/501604,proposed,
urn:cite:hmt:place.place258,Pannonia,"Province north of Illyricum; bounded by Danube",pleiades.stoa.org/places/992076,proposed,
urn:cite:hmt:place.place259,Cyzicus,"Ancient town in Mysia",pleiades.stoa.org/places/511218,proposed,
urn:cite:hmt:place.place260,Opus,"a city in Locris, the home of Menoetius, father of Patroclus",,proposed,
urn:cite:hmt:place.place261,Spercheius,a river in Thessaly,pleiades.stoa.org/places/541112,proposed,
urn:cite:hmt:place.place262,Paphlagonia,Region on north coast of Anatolia,pleiades.stoa.org/places/845034,proposed,
urn:cite:hmt:place.place263,Caunus,City of Caria in Anatolia,pleiades.stoa.org/places/638796,proposed,
urn:cite:hmt:place.place264,Tralleis,"or Tralles,City in southwestern Anatolia",pleiades.stoa.org/places/599987,proposed,
urn:cite:hmt:place.place265,Thymbra,"Town near Troy; place of sanctuary to Apollo",pleiades.stoa.org/places/550927,proposed,
urn:cite:hmt:place.place266,Pidaios,"town associated with the Leleges, alternatively spelled Pedasus",,proposed,
urn:cite:hmt:place.place267,Teuchios,town in Euboea,,proposed,
urn:cite:hmt:place.place268,Ios,island in the Cyclades,pleiades.stoa.org/places/599673,proposed,
urn:cite:hmt:place.place269,Locris,region of Greece north of Boeotia divided into three distinct regions,,proposed,
urn:cite:hmt:place.place270,Opuntia,"a region of Locris, home of the Epicnemidii Locri or the Locri Opuntii",pleiades.stoa.org/places/540918,proposed,
urn:cite:hmt:place.place271,Ikaros,"modern Icaria,and island in the Aegean",pleiades.stoa.org/places/599667,proposed,
urn:cite:hmt:place.place272,Dardania,"a city and a district of the Troad, in Asia Minor on the Hellespont",,proposed,
urn:cite:hmt:place.place273,Xois,"Ancient Egyptian City on Nile Delta, identified as the ancient Egyptian city of Khasut or Khaset or Sakha",pleiades.stoa.org/places/727256,proposed,
urn:cite:hmt:place.place274,Sais,"or Sa el-Hagar, an  ancient Egyptian town in the Western Nile Delta on the Canopic branch of the Nile,Egyptian name was Zau",pleiades.stoa.org/places/727217,proposed,
urn:cite:hmt:place.place275,Triton,"a river in Libya, joining the lake Tritonis with the sea",,proposed,
urn:cite:hmt:place.place276,Gargaron,"a village on Mt. Ida in the Troad",,proposed,
urn:cite:hmt:place.place277,Helice,"city located in Achaea, northern Peloponnesos, submerged in a tsunami in 373 BCE",pleiades.stoa.org/places/570281,proposed,
urn:cite:hmt:place.place278,Aegae,"Aigai, an ancient town on the west coast of the island of Euboea",pleiades.stoa.org/places/540603,proposed,
urn:cite:hmt:place.place279,Cocytus,a river of the Underworld,,proposed,
urn:cite:hmt:place.place280,Styx,a river of the Underworld,,proposed,
urn:cite:hmt:place.place282,Pleuron,an ancient city in Aetolia,pleiades.stoa.org/places/540999,proposed,
urn:cite:hmt:place.place283,Eleusis,"a district of Attica, site of the Eleusinian Mysteries",pleiades.stoa.org/places/579920,proposed,
urn:cite:hmt:place.place284,Lekton,"the westernmost point of the Anatolian part of Turkey",pleiades.stoa.org/places/550691,proposed,
urn:cite:hmt:place.place285,Phalacra,"a promontory of Mount Ida, in Mysia",,proposed,
urn:cite:hmt:place.place286,Erebus,a region of the Greek underworld where the dead pass immediately after dying,,proposed,
urn:cite:hmt:place.place287,Aesyme,"Aisyme, a town near Troy, possibly the historic Oisyme",,proposed,
urn:cite:hmt:place.place288,Minyeius,River in Elis near Arene,,proposed,
urn:cite:hmt:place.place289,Canopus,a town in Egypt,pleiades.stoa.org/places/727097,proposed,
