URN,Label,Description,Pleiades,Status,Redirect
urn:cite:hmt:place.place350,Mantineia,a town in Arcadia,pleiades.stoa.org/places/570459,proposed,
urn:cite:hmt:place.place351,Stymphalus,a small city in Arcadia,pleiades.stoa.org/places/570696,proposed,
urn:cite:hmt:place.place352,Parrasia,"or Parrhassia, a town in Arcadia",pleiades.stoa.org/places/570564,proposed,
urn:cite:hmt:place.place353,Neriton,"or Neritum, an Ionian island",,proposed,
urn:cite:hmt:place.place354,Crocyleia,island or a village belonging to Ithaca,,proposed,
urn:cite:hmt:place.place355,Aegilips," district, or island, under the rule of Odysseus",,proposed,
urn:cite:hmt:place.place356,Zacynthus,"an island in the realm of Odysseus, south of Same",pleiades.stoa.org/places/531155,proposed,
urn:cite:hmt:place.place357,Same,"an island near Ithaca, perhaps Cephallenia or a part of Cephallenia",pleiades.stoa.org/places/531093,proposed,
urn:cite:hmt:place.place358,Olenus,"a town in Aetolia, on Mt. Aracynthus",,proposed,
urn:cite:hmt:place.place359,Pylene,a town in Aetolia,,proposed,
urn:cite:hmt:place.place360,Knossos,"or Cnosos, majors city on Crete",pleiades.stoa.org/places/589872,proposed,
urn:cite:hmt:place.place361,Gortys,"or Gortyna, a city of Crete",pleiades.stoa.org/places/589796,proposed,
urn:cite:hmt:place.place362,Lyctus,"a city in Crete, east of Cnosus",pleiades.stoa.org/places/589918,proposed,
urn:cite:hmt:place.place363,Miletus,"in Crete, mother-city of the foregoing",,proposed,
urn:cite:hmt:place.place364,Rhytion,"city on Crete",pleiades.stoa.org/places/590033,proposed,
urn:cite:hmt:place.place365,Ialysus,a town on Rhodes,pleiades.stoa.org/places/589815,proposed,
urn:cite:hmt:place.place366,Cameirus,a town on the west coast of Rhodes,,proposed,
urn:cite:hmt:place.place367,Ephyra,"Ephyre, later name of Cichyrus, in Thesprotia",pleiades.stoa.org/places/530870,proposed,
urn:cite:hmt:place.place368,Selleis,"a river near Ephyra, either Thesprotian or somewhere in Elis",,proposed,
urn:cite:hmt:place.place369,Syme,"island between Rhodes and Cnidus in Caria",pleiades.stoa.org/places/599951,proposed,
urn:cite:hmt:place.place370,Nisyrus,"small island, one of the Sporades",pleiades.stoa.org/places/599830,proposed,
urn:cite:hmt:place.place371,Carpathus,an island between Crete and Rhodes,pleiades.stoa.org/places/589841,proposed,
urn:cite:hmt:place.place372,Casus,"or Kasos, an island near Cos",pleiades.stoa.org/places/589846,proposed,
urn:cite:hmt:place.place373,Calydnae,"group of islands off the coast of Caria",pleiades.stoa.org/places/550611,proposed,
urn:cite:hmt:place.place374,Alos,a town in the domain of Achilles,,proposed,
urn:cite:hmt:place.place375,Alope,a town in the domain of Achilles,,proposed,
urn:cite:hmt:place.place376,Trachis,town in Thessaly,pleiades.stoa.org/places/541157,proposed,
urn:cite:hmt:place.place377,Pyrasus,a town in Thessaly,pleiades.stoa.org/places/541081,proposed,
urn:cite:hmt:place.place378,Iton,a town in Thessaly,,proposed,
urn:cite:hmt:place.place379,Antron,a town in Thessaly,pleiades.stoa.org/places/540644,proposed,
urn:cite:hmt:place.place380,Pteleon,a town in Thessaly,pleiades.stoa.org/places/541077,proposed,
urn:cite:hmt:place.place381,Boebeïs,lake in Thessaly,pleiades.stoa.org/places/540690,proposed,
urn:cite:hmt:place.place382,Boebe,town in Thessaly,,proposed,
urn:cite:hmt:place.place383,Glaphyrae,town in Thessaly,pleiades.stoa.org/places/540790,proposed,
urn:cite:hmt:place.place384,Methone,"a city in Magnesia, the home of Philoctetes",pleiades.stoa.org/places/540946,proposed,
urn:cite:hmt:place.place385,Thaumacia,"a town in Magnesia, under the rule of Philoctetes",pleiades.stoa.org/places/541135,proposed,
urn:cite:hmt:place.place386,Olizon,"a town in Magnesia in Thessaly",pleiades.stoa.org/places/540979,proposed,
urn:cite:hmt:place.place387,Trikka,"or Trikke, a city in Thessaly, birthplace of Asclepius",pleiades.stoa.org/places/541163,proposed,
urn:cite:hmt:place.place388,Ithome,"a city in Thessaly",pleiades.stoa.org/places/540841,proposed,
urn:cite:hmt:place.place389,Ormenion,"a town in Thessaly",,proposed,
urn:cite:hmt:place.place390,Asterion,"or Asterium, a location in Thessaly",,proposed,
urn:cite:hmt:place.place391,Argissa,a town in Thessaly,,proposed,
urn:cite:hmt:place.place392,Gyrtone,"a town in Pelasgiotis, on the river Peneus",,proposed,
urn:cite:hmt:place.place393,Titaressus,a river in Thessaly,,proposed,
urn:cite:hmt:place.place394,Peneus,"or Peneius, a river in Thessaly",pleiades.stoa.org/places/541022,proposed,
urn:cite:hmt:place.place395,Pereia,"a region in Thessaly",pleiades.stoa.org/places/541025,proposed,
urn:cite:hmt:place.place396,Adrasteia,"or Adrastea, a region of Mysia",pleiades.stoa.org/places/511138,proposed,
urn:cite:hmt:place.place397,Apaesus,"a town  on the coast of Troas, at the entrance of the Propontis, also known as Paesus",,proposed,
urn:cite:hmt:place.place398,Pityeia,a town of Mysia,,proposed,
urn:cite:hmt:place.place399,Tereia,a mountain of Mysia,,proposed,
urn:cite:hmt:place.place400,Practius,"a river in the Troad, north of Abydus",pleiades.stoa.org/places/501577,proposed,
urn:cite:hmt:place.place401,Larisa,"or Larissa, a town in Asia Minor, near Cyme",,proposed,
