MorpheusLemma,Urn
γέρας,urn:cite:perseus:lexentity.lex15597.1
γραφή,urn:cite:perseus:lexentity.lex16923.1
γραφεύς,urn:cite:perseus:lexentity.lex16929.1
γραφής,urn:cite:perseus:lexentity.lex16924.1
ὑγράζω,urn:cite:perseus:lexentity.lex122529.1
ἀγρός,urn:cite:perseus:lexentity.lex83706.1
γράφω,urn:cite:perseus:lexentity.lex16845.1
γέρων,urn:cite:perseus:lexentity.lex15605.1
ἀγός,urn:cite:perseus:lexentity.lex83851.1
γυνή,urn:cite:perseus:lexentity.lex17115.1
ἐγχύνω,urn:cite:perseus:lexentity.lex102507.1
ἐγχέω,urn:cite:perseus:lexentity.lex102416.1
γύψ,urn:cite:perseus:lexentity.lex17285.1
ἀγάω,urn:cite:perseus:lexentity.lex83137.1
ἰδέ,urn:cite:perseus:lexentity.lex116092.1
δέ,urn:cite:perseus:lexentity.lex17379.1
δαί,urn:cite:perseus:lexentity.lex17746.1
δαλός,urn:cite:perseus:lexentity.lex17898.1
δαμάζω,urn:cite:perseus:lexentity.lex17899.1
δαμάω,urn:cite:perseus:lexentity.lex17907.1
Ἰδαῖος,none
δαήρ,urn:cite:perseus:lexentity.lex17745.1
δαίσ,multiple
δαίϲ,multiple
δασύς,urn:cite:perseus:lexentity.lex18009.1
δαίτη,urn:cite:perseus:lexentity.lex17757.1
δαίτης,urn:cite:perseus:lexentity.lex17759.1
δαίω1,multiple
δαίω2,multiple
δίδημι,urn:cite:perseus:lexentity.lex17518.1
δίδωμι,urn:cite:perseus:lexentity.lex17525.1
δείδω,urn:cite:perseus:lexentity.lex18072.1
δειλός,urn:cite:perseus:lexentity.lex18144.1
δεινάζω,urn:cite:perseus:lexentity.lex18160.1
δεινός,urn:cite:perseus:lexentity.lex18179.1
δείκνυμι,urn:cite:perseus:lexentity.lex18078.1
δεκάω,urn:cite:perseus:lexentity.lex18297.1
δεξιά,urn:cite:perseus:lexentity.lex18484.1
δεξιάζω,urn:cite:perseus:lexentity.lex18485.1
δεξιόομαι,urn:cite:perseus:lexentity.lex18493.1
δείξις,urn:cite:perseus:lexentity.lex18089.1
δεξιός,urn:cite:perseus:lexentity.lex18495.1
δεύομαι,urn:cite:perseus:lexentity.lex18636.1
δεσμός,urn:cite:perseus:lexentity.lex18554.1
δεύω2,none
Δίη,none
Ἴδη,none
δύη,urn:cite:perseus:lexentity.lex23449.1
δηθά,urn:cite:perseus:lexentity.lex18656.1
